wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
64006;8;1576;84,06;35;1032;413;96;97;10;64;10;13;1479;25;968;403;83;5,3
64007;5;1310;110,07;103;460;230;517;370;21;68;22;259;940;82;392;208;258;2,7
64008;;1162;76,9;57;371;650;84;14;;6;;8;1148;57;365;650;76;12,4
71001;5;849;97,32;193;209;298;149;628;166;180;145;137;221;27;29;153;12;1,5
71002;12;1266;77,51;29;227;954;56;15;;5;6;3;1251;28;222;948;53;9,2
71003;80;2046;93,55;1066;453;325;202;335;222;84;7;22;1711;844;369;318;180;3,5
71004;15;1057;83,45;157;131;173;596;217;69;11;3;134;840;88;120;170;462;3,6
71005;83;1331;82,79;845;318;77;91;427;207;159;28;33;904;638;159;49;58;2,6
71006;14;658;99,69;234;156;102;166;460;171;109;61;119;198;63;47;41;47;1,5
71007;91;417;77,59;44;97;74;202;68;4;7;;57;349;40;90;74;145;3,8
71008;14;977;70,64;330;203;314;130;166;121;25;4;16;811;209;178;310;114;3,7
71009;83;1190;69,57;558;239;164;229;104;65;16;;22;1086;493;223;163;207;5,1
71010;24;1096;72,6;142;255;520;179;92;17;8;54;13;1004;125;247;466;166;5,1
71011;49;1076;71,02;422;406;173;75;149;43;88;15;3;927;379;318;158;72;4,3
71012;49;379;76,23;73;107;87;112;51;16;10;6;19;328;57;97;81;93;4,1
71013;;;;;;;;;;;;;;;;;;
71014;;;;;;;;;;;;;;;;;;
71015;67;1373;67,71;687;429;167;90;153;122;15;3;13;1220;565;414;164;77;4,6
71016;7;1223;78,12;299;463;395;66;328;74;117;103;34;895;225;346;292;32;3,2
72001;14;893;94,14;299;359;200;35;78;41;28;6;3;815;258;331;194;32;3,8
72002;37;1412;79,27;398;552;441;21;43;27;7;7;;1369;371;545;434;19;6,2
72003;17;1090;80,71;294;284;391;121;84;48;12;;22;1006;246;272;389;99;4,7
73001;28;800;92,97;129;195;356;120;91;34;31;13;13;709;95;164;343;107;5,2
73002;;731;76,13;0;9;36;686;12;;;;12;719;;9;36;674;15,2
73003;;1016;92,38;22;241;689;64;343;19;177;83;64;673;3;64;606;;2,5
